,plot_id,center_lon,center_lat,size_m,shape,sample_points,email,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,pl_plotid,Land Cover Elements:Trees_CanopyCover,Land Cover Elements:bush/scrub,Land Cover Elements:grass,Land Cover Elements:cultivated vegetation,Land Cover Elements:Water>treated pool,Land Cover Elements:Water>lake/ponded/container,Land Cover Elements:Water>rivers/stream,Land Cover Elements:Water>irrigation ditch,Land Cover Elements:shadow,Land Cover Elements:unknown,Land Cover Elements:Bare Ground,Land Cover Elements:Building,Land Cover Elements:Impervious Surface (no building),AOI Number
742,140963237,-88.5511549055748,47.09200152007399,square,100.0,100,43,False,,100.0,2021-07-14 23:49,315.0 secs,,0,7702,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
741,140963236,-88.557758175958,47.09200152007399,square,100.0,100,43,False,,100.0,2021-07-14 23:44,327.2 secs,,0,7701,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
740,140963235,-88.54125,47.08076,square,100.0,100,43,False,,100.0,2021-07-14 23:39,464.4 secs,,0,7700,3.0,39.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
726,140963221,-106.2125518144464,31.704301695985205,square,100.0,100,31,False,,100.0,2021-07-30 07:20,-361.1 secs,,0,7623,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,10.0,76.0
724,140963219,-106.22312272851784,31.704301695985205,square,100.0,100,31,False,,100.0,2021-07-30 07:17,-361.2 secs,,0,7621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,76.0
717,140963212,-106.22840818555358,31.708798304014795,square,100.0,100,31,False,,100.0,2021-07-30 07:01,-282.5 secs,,0,7614,5.0,4.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,39.0,4.0,76.0
1235,140878306,-88.6419993919554,47.2302723040148,square,100.0,100,6,False,,100.0,2021-07-14 23:43,8.6 secs,,0,3314,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
1659,140878730,-96.78092589380655,33.17821047992602,square,100.0,100,60,False,,100.0,2021-07-21 20:45,139.8 secs,,0,4431,18.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,28.0,44.0
1233,140878304,-88.61551301340766,47.2347689120444,square,100.0,100,6,False,,100.0,2021-07-14 23:43,118.6 secs,,0,3312,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,33.0
862,140877933,-97.37077813,27.67647091,square,100.0,100,24,False,,100.0,2021-07-10 00:34,563.8 secs,,0,2311,17.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,25.0,37.0,23.0
469,140877540,-77.62597326060843,39.04892129385566,square,100.0,100,10,False,,100.0,2021-07-14 05:31,12.7 secs,,0,1225,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
470,140877541,-77.62018264869997,39.04892129385566,square,100.0,100,10,False,,100.0,2021-07-14 05:33,107.0 secs,,0,1226,66.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,12.0
471,140877542,-77.6143920367915,39.04892129385566,square,100.0,100,10,False,,100.0,2021-07-14 06:05,28.6 secs,,0,1227,36.0,4.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,12.0
472,140877543,-77.60860142488303,39.04892129385566,square,100.0,100,10,False,,100.0,2021-07-14 05:41,344.7 secs,,0,1228,16.0,0.0,3.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,8.0,11.0,12.0
473,140877544,-77.60281081297457,39.04892129385566,square,100.0,100,10,False,,100.0,2021-07-14 06:06,31.0 secs,,0,1229,60.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,0.0,12.0
474,140877545,-77.5970202010661,39.04892129385566,square,100.0,100,10,False,,100.0,2021-07-14 05:46,81.4 secs,,0,1230,87.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,1.0,12.0
475,140877546,-77.62597326060843,39.04442468582607,square,100.0,100,10,False,,100.0,2021-07-14 05:46,11.7 secs,,0,1231,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
476,140877547,-77.62018264869997,39.04442468582607,square,100.0,100,10,False,,100.0,2021-07-14 05:47,73.8 secs,,0,1232,13.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
477,140877548,-77.6143920367915,39.04442468582607,square,100.0,100,10,False,,100.0,2021-07-14 05:48,65.0 secs,,0,1233,1.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
871,140877942,-97.38600987,27.6674777,square,100.0,100,24,False,,100.0,2021-07-10 01:46,145.2 secs,,0,2320,5.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,23.0
870,140877941,-97.39108712,27.6674777,square,100.0,100,24,False,,100.0,2021-07-10 01:43,778.3 secs,,0,2319,1.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,23.0
478,140877549,-77.60860142488303,39.04442468582607,square,100.0,100,10,False,,100.0,2021-07-14 05:53,272.5 secs,,0,1234,10.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,12.0
868,140877939,-97.37077813,27.6719743,square,100.0,100,24,False,,100.0,2021-07-10 01:23,647.0 secs,,0,2317,37.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,26.0,23.0
867,140877938,-97.37585538,27.6719743,square,100.0,100,24,False,,100.0,2021-07-10 01:12,713.8 secs,,0,2316,26.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,29.0,28.0,23.0
866,140877937,-97.38093262,27.6719743,square,100.0,100,24,False,,100.0,2021-07-10 01:00,405.5 secs,,0,2315,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,23.0
479,140877550,-77.60281081297457,39.04442468582607,square,100.0,100,10,False,,100.0,2021-07-14 05:56,215.9 secs,,0,1235,17.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,17.0,2.0,8.0,12.0
480,140877551,-77.5970202010661,39.04442468582607,square,100.0,100,10,False,,100.0,2021-07-14 06:09,52.1 secs,,0,1236,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0
468,140877539,-77.5970202010661,39.05341790188526,square,100.0,100,10,False,,100.0,2021-07-14 06:04,26.6 secs,,0,1224,56.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,12.0
467,140877538,-77.60281081297457,39.05341790188526,square,100.0,100,10,False,,100.0,2021-07-14 05:28,92.4 secs,,0,1223,73.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
466,140877537,-77.60860142488303,39.05341790188526,square,100.0,100,10,False,,100.0,2021-07-14 06:03,24.5 secs,,0,1222,24.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,5.0,12.0
458,140877529,-77.62018264869997,39.05791450991485,square,100.0,100,10,False,,100.0,2021-07-14 05:12,12.9 secs,,0,1214,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
451,140877522,-77.62597326060843,39.06241111794445,square,100.0,100,10,False,,100.0,2021-07-14 04:54,71.5 secs,,0,1207,25.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0
452,140877523,-77.62018264869997,39.06241111794445,square,100.0,100,10,False,,100.0,2021-07-14 04:57,192.3 secs,,0,1208,69.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,12.0
453,140877524,-77.6143920367915,39.06241111794445,square,100.0,100,10,False,,100.0,2021-07-14 06:01,34.1 secs,,0,1209,43.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,1.0,14.0,12.0
454,140877525,-77.60860142488303,39.06241111794445,square,100.0,100,10,False,,100.0,2021-07-14 06:01,26.2 secs,,0,1210,59.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0
455,140877526,-77.60281081297457,39.06241111794445,square,100.0,100,10,False,,100.0,2021-07-14 05:09,239.3 secs,,0,1211,19.0,1.0,39.0,33.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,12.0
456,140877527,-77.5970202010661,39.06241111794445,square,100.0,100,10,False,,100.0,2021-07-14 05:11,118.4 secs,,0,1212,3.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0
457,140877528,-77.62597326060843,39.05791450991485,square,100.0,100,10,False,,100.0,2021-07-14 05:12,81.1 secs,,0,1213,81.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0
459,140877530,-77.6143920367915,39.05791450991485,square,100.0,100,10,False,,100.0,2021-07-14 05:14,113.1 secs,,0,1215,15.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,12.0
465,140877536,-77.6143920367915,39.05341790188526,square,100.0,100,10,False,,100.0,2021-07-14 05:24,21.0 secs,,0,1221,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
460,140877531,-77.60860142488303,39.05791450991485,square,100.0,100,10,False,,100.0,2021-07-14 05:17,164.5 secs,,0,1216,22.0,16.0,56.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,12.0
461,140877532,-77.60281081297457,39.05791450991485,square,100.0,100,10,False,,100.0,2021-07-14 05:18,92.8 secs,,0,1217,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,12.0
892,140877963,-121.997685456458,37.34239152007399,square,100.0,100,40,False,,100.0,2021-07-21 22:06,664.1 secs,,0,2404,34.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,29.0,25.0,24.0
891,140877962,-122.003340543542,37.34239152007399,square,100.0,100,40,False,,100.0,2021-07-21 21:55,480.5 secs,,0,2403,13.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,2.0,4.0,5.0,22.0,40.0,24.0
462,140877533,-77.5970202010661,39.05791450991485,square,100.0,100,10,False,,100.0,2021-07-14 05:21,151.9 secs,,0,1218,71.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,1.0,0.0,12.0
463,140877534,-77.62597326060843,39.05341790188526,square,100.0,100,10,False,,100.0,2021-07-14 05:23,141.0 secs,,0,1219,29.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,12.0
464,140877535,-77.62018264869997,39.05341790188526,square,100.0,100,10,False,,100.0,2021-07-14 05:23,11.2 secs,,0,1220,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
863,140877934,-97.36570088,27.67647091,square,100.0,100,24,False,,100.0,2021-07-10 00:45,681.2 secs,,0,2312,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,38.0,23.0
861,140877932,-97.37585538,27.67647091,square,100.0,100,24,False,,100.0,2021-07-10 00:24,610.8 secs,,0,2310,5.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,28.0,23.0
449,140877520,-77.60281081297457,39.06690772597404,square,100.0,100,10,False,,100.0,2021-07-14 04:50,215.6 secs,,0,1205,5.0,3.0,61.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,14.0,12.0
860,140877931,-97.38093262,27.67647091,square,100.0,100,24,False,,100.0,2021-07-10 00:13,456.5 secs,,0,2309,3.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,31.0,23.0
500,140877571,-73.76681087317552,42.716052695985205,square,100.0,100,55,False,,100.0,2021-08-06 04:06,46.0 secs,,0,1319,64.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
501,140877572,-73.76069052390531,42.716052695985205,square,100.0,100,55,False,,100.0,2021-08-06 04:06,12.4 secs,,0,1320,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
502,140877573,-73.75457017463509,42.716052695985205,square,100.0,100,55,False,,100.0,2021-08-06 04:07,46.8 secs,,0,1321,26.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0
503,140877574,-73.74844982536489,42.716052695985205,square,100.0,100,55,False,,100.0,2021-08-06 04:08,48.5 secs,,0,1322,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,13.0
504,140877575,-73.74232947609468,42.716052695985205,square,100.0,100,55,False,,100.0,2021-08-06 04:08,35.4 secs,,0,1323,24.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
505,140877576,-73.73620912682446,42.716052695985205,square,100.0,100,55,False,,100.0,2021-08-06 04:09,61.3 secs,,0,1324,15.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,13.0
506,140877577,-73.76681087317552,42.71155608795561,square,100.0,100,55,False,,100.0,2021-08-06 04:10,25.8 secs,,0,1325,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,13.0
507,140877578,-73.76069052390531,42.71155608795561,square,100.0,100,55,False,,100.0,2021-08-06 04:10,27.3 secs,,0,1326,28.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
508,140877579,-73.75457017463509,42.71155608795561,square,100.0,100,55,False,,100.0,2021-08-06 04:11,39.2 secs,,0,1327,46.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,13.0
509,140877580,-73.74844982536489,42.71155608795561,square,100.0,100,55,False,,100.0,2021-08-06 04:11,26.4 secs,,0,1328,40.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
510,140877581,-73.74232947609468,42.71155608795561,square,100.0,100,55,False,,100.0,2021-08-06 04:12,34.1 secs,,0,1329,72.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0
856,140877927,-97.37077813,27.68096752,square,100.0,100,24,False,,100.0,2021-07-09 23:28,380.7 secs,,0,2305,5.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,51.0,23.0
511,140877582,-73.73620912682446,42.71155608795561,square,100.0,100,55,False,,100.0,2021-08-06 04:12,12.9 secs,,0,1330,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
512,140877583,-73.76681087317552,42.707059479926016,square,100.0,100,55,False,,100.0,2021-08-06 04:13,47.4 secs,,0,1331,78.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,13.0
513,140877584,-73.76069052390531,42.707059479926016,square,100.0,100,55,False,,100.0,2021-08-06 04:14,43.5 secs,,0,1332,21.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0
854,140877925,-97.38093262,27.68096752,square,100.0,100,24,False,,100.0,2021-07-09 22:47,717.5 secs,,0,2303,7.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,47.0,23.0
853,140877924,-97.38600987,27.68096752,square,100.0,100,24,False,,100.0,2021-07-09 22:35,1177.0 secs,,0,2302,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,28.0,23.0
499,140877570,-73.73620912682446,42.7205493040148,square,100.0,100,55,False,,100.0,2021-08-06 04:05,68.2 secs,,0,1318,8.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,13.0
498,140877569,-73.74232947609468,42.7205493040148,square,100.0,100,55,False,,100.0,2021-08-06 04:04,42.2 secs,,0,1317,2.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0
497,140877568,-73.74844982536489,42.7205493040148,square,100.0,100,55,False,,100.0,2021-08-06 04:03,103.4 secs,,0,1316,73.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0
487,140877558,-73.73620912682446,42.729542520073984,square,100.0,100,55,False,,100.0,2021-07-14 15:53,243.4 secs,,0,1306,7.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,28.0,13.0
481,140877552,-73.75151,42.718301,square,100.0,100,55,False,,100.0,2021-07-14 14:50,2034.3 secs,,0,1300,21.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,14.0,9.0,13.0
482,140877553,-73.76681087317552,42.729542520073984,square,100.0,100,55,False,,100.0,2021-07-14 14:59,513.2 secs,,0,1301,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,9.0,0.0,0.0,13.0
483,140877554,-73.76069052390531,42.729542520073984,square,100.0,100,55,False,,100.0,2021-07-14 15:04,347.1 secs,,0,1302,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,7.0,72.0,13.0
484,140877555,-73.75457017463509,42.729542520073984,square,100.0,100,55,False,,100.0,2021-07-14 15:34,1766.9 secs,,0,1303,19.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,10.0,13.0
485,140877556,-73.74844982536489,42.729542520073984,square,100.0,100,55,False,,100.0,2021-07-14 15:43,558.1 secs,,0,1304,64.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,0.0,13.0
486,140877557,-73.74232947609468,42.729542520073984,square,100.0,100,55,False,,100.0,2021-07-14 15:49,327.7 secs,,0,1305,16.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,8.0,34.0,13.0
859,140877930,-97.38600987,27.67647091,square,100.0,100,24,False,,100.0,2021-07-10 00:06,603.0 secs,,0,2308,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,60.0,23.0
488,140877559,-73.76681087317552,42.72504591204439,square,100.0,100,55,False,,100.0,2021-07-27 20:36,295.3 secs,,0,1307,64.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,13.0
496,140877567,-73.75457017463509,42.7205493040148,square,100.0,100,55,False,,100.0,2021-07-27 20:58,275.7 secs,,0,1315,52.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,14.0,16.0,13.0
489,140877560,-73.76069052390531,42.72504591204439,square,100.0,100,55,False,,100.0,2021-07-27 20:40,272.9 secs,,0,1308,33.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,17.0,13.0
490,140877561,-73.75457017463509,42.72504591204439,square,100.0,100,55,False,,100.0,2021-07-27 20:43,168.9 secs,,0,1309,67.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,6.0,13.0
491,140877562,-73.74844982536489,42.72504591204439,square,100.0,100,55,False,,100.0,2021-07-27 20:45,127.2 secs,,0,1310,55.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,1.0,13.0
492,140877563,-73.74232947609468,42.72504591204439,square,100.0,100,55,False,,100.0,2021-07-27 20:47,122.3 secs,,0,1311,74.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0
493,140877564,-73.73620912682446,42.72504591204439,square,100.0,100,55,False,,100.0,2021-07-27 20:51,196.7 secs,,0,1312,26.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,22.0,13.0
494,140877565,-73.76681087317552,42.7205493040148,square,100.0,100,55,False,,100.0,2021-07-27 20:52,71.2 secs,,0,1313,24.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,13.0
495,140877566,-73.76069052390531,42.7205493040148,square,100.0,100,55,False,,100.0,2021-07-27 20:53,75.4 secs,,0,1314,85.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0
450,140877521,-77.5970202010661,39.06690772597404,square,100.0,100,10,False,,100.0,2021-07-14 06:00,72.2 secs,,0,1206,15.0,0.0,76.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0
448,140877519,-77.60860142488303,39.06690772597404,square,100.0,100,10,False,,100.0,2021-07-14 04:46,244.5 secs,,0,1204,0.0,0.0,20.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,22.0,12.0
377,140877448,-118.16020942042158,34.1235349120444,square,100.0,100,1,False,,100.0,2021-08-08 05:35,255.0 secs,,0,1007,62.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,20.0,10.0
957,140878028,-121.15329379671569,38.64105947992602,square,100.0,100,15,False,,100.0,2021-07-19 00:54,83.8 secs,,0,2532,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,9.0,25.0
956,140878027,-121.15905166119282,38.64105947992602,square,100.0,100,15,False,,100.0,2021-07-19 00:53,27.2 secs,,0,2531,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,25.0
955,140878026,-121.1302623388072,38.64555608795561,square,100.0,100,15,False,,100.0,2021-07-19 00:52,3000.6 secs,,0,2530,15.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,35.0,25.0
954,140878025,-121.13602020328432,38.64555608795561,square,100.0,100,15,False,,100.0,2021-07-19 00:02,90.6 secs,,0,2529,14.0,10.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,37.0,25.0
953,140878024,-121.14177806776144,38.64555608795561,square,100.0,100,15,False,,100.0,2021-07-18 23:03,344.7 secs,,0,2528,7.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,78.0,25.0
952,140878023,-121.14753593223855,38.64555608795561,square,100.0,100,15,False,,100.0,2021-07-18 22:58,436.4 secs,,0,2527,9.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,45.0,25.0
951,140878022,-121.15329379671569,38.64555608795561,square,100.0,100,15,False,,100.0,2021-07-18 22:50,613.7 secs,,0,2526,36.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,28.0,3.0,22.0,25.0
950,140878021,-121.15905166119282,38.64555608795561,square,100.0,100,15,False,,100.0,2021-07-18 22:40,815.9 secs,,0,2525,7.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,61.0,25.0
949,140878020,-121.1302623388072,38.65005269598521,square,100.0,100,15,False,,100.0,2021-07-18 22:26,183.6 secs,,0,2524,37.0,0.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,35.0,25.0
240,140877311,-74.19592152858957,40.8570703040148,square,100.0,100,57,False,,100.0,2021-07-15 17:02,188.0 secs,,0,618,31.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,10.0,16.0,6.0
948,140878019,-121.13602020328432,38.65005269598521,square,100.0,100,15,False,,100.0,2021-07-18 22:23,112.9 secs,,0,2523,0.0,0.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,25.0
947,140878018,-121.14177806776144,38.65005269598521,square,100.0,100,15,False,,100.0,2021-07-18 22:22,237.1 secs,,0,2522,10.0,0.0,13.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,31.0,25.0
373,140877444,-118.1493466840843,34.12803152007399,square,100.0,100,1,False,,100.0,2021-08-08 05:03,834.5 secs,,0,1003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,66.0,10.0
944,140878015,-121.15905166119282,38.65005269598521,square,100.0,100,15,False,,100.0,2021-07-18 05:44,478.0 secs,,0,2519,22.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,42.0,25.0
943,140878014,-121.1302623388072,38.6545493040148,square,100.0,100,15,False,,100.0,2021-07-18 05:36,292.7 secs,,0,2518,8.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,50.0,3.0,25.0
961,140878032,-121.1302623388072,38.64105947992602,square,100.0,100,15,False,,100.0,2021-07-19 00:58,15.3 secs,,0,2536,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,25.0
960,140878031,-121.13602020328432,38.64105947992602,square,100.0,100,15,False,,100.0,2021-07-19 00:58,62.6 secs,,0,2535,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,25.0
959,140878030,-121.14177806776144,38.64105947992602,square,100.0,100,15,False,,100.0,2021-07-19 00:57,101.7 secs,,0,2534,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,25.0
958,140878029,-121.14753593223855,38.64105947992602,square,100.0,100,15,False,,100.0,2021-07-19 00:55,57.6 secs,,0,2533,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,25.0
942,140878013,-121.13602020328432,38.6545493040148,square,100.0,100,15,False,,100.0,2021-07-18 05:31,311.5 secs,,0,2517,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,4.0,18.0,25.0
378,140877449,-118.15477805225296,34.1235349120444,square,100.0,100,1,False,,100.0,2021-08-08 05:42,449.7 secs,,0,1008,44.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,17.0,10.0
447,140877518,-77.6143920367915,39.06690772597404,square,100.0,100,10,False,,100.0,2021-07-14 04:42,36.4 secs,,0,1203,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
941,140878012,-121.14177806776144,38.6545493040148,square,100.0,100,15,False,,100.0,2021-07-18 05:26,404.6 secs,,0,2516,12.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,34.0,35.0,25.0
